	Gene	Block	Mutagenesis Start	Mutagenesis End
0	BRAFcterm	1	3	141
1	BRAFcterm	2	129	294
2	BRAFcterm	3	285	441
3	BRAFcterm	4	438	597
4	BRAFcterm	5	585	744
5	BRAFcterm	6	735	900
6	BRAFcterm	7	888	1023
7	MRAS	1	3	150
8	MRAS	2	144	315
9	MRAS	3	312	483
10	MRAS	4	477	624
11	EGFRcterm	1	3	156
12	EGFRcterm	2	144	321
13	EGFRcterm	3	306	480
14	EGFRcterm	4	474	654
15	EGFRcterm	5	645	819
16	EGFRcterm	6	813	981
17	EGFRcterm	7	969	1146
18	EGFRcterm	8	1143	1311
19	EGFRcterm	9	1308	1482
20	EGFRcterm	10	1473	1623
21	ERBB2cterm	1	3	141
22	ERBB2cterm	2	141	309
23	ERBB2cterm	3	297	468
24	ERBB2cterm	4	453	627
25	ERBB2cterm	5	612	783
26	ERBB2cterm	6	768	936
27	ERBB2cterm	7	930	1104
28	ERBB2cterm	8	1086	1257
29	ERBB2cterm	9	1251	1419
30	ERBB2cterm	10	1410	1581
31	ERBB2cterm	11	1572	1713
32	SHP2	1	3	150
33	SHP2	2	144	312
34	SHP2	3	306	486
35	SHP2	4	474	651
36	SHP2	5	639	810
37	SHP2	6	810	975
38	SHP2	7	975	1146
39	SHP2	8	1137	1311
40	SHP2	9	1299	1470
41	SHP2	10	1467	1635
42	SHP2	11	1632	1779
43	SOS2cterm	1	3	135
44	SOS2cterm	2	135	297
45	SOS2cterm	3	282	441
46	SOS2cterm	4	435	600
47	SOS2cterm	5	591	753
48	SOS2cterm	6	747	903
49	SOS2cterm	7	900	1062
50	SOS2cterm	8	1053	1218
51	SOS2cterm	9	1200	1365
52	SOS2cterm	10	1365	1497
53	ARAFnterm	1	3	144
54	ARAFnterm	2	129	297
55	ARAFnterm	3	291	453
56	ARAFnterm	4	447	606
57	ARAFnterm	5	594	762
58	ARAFnterm	6	744	888
59	ARAFcterm	1	3	123
60	ARAFcterm	2	120	258
61	ARAFcterm	3	255	402
62	ARAFcterm	4	393	534
63	ARAFcterm	5	531	675
64	ARAFcterm	6	672	813
65	ARAFcterm	7	804	930
66	CRAFcterm	1	3	153
67	CRAFcterm	2	144	312
68	CRAFcterm	3	306	471
69	CRAFcterm	4	471	636
70	CRAFcterm	5	630	804
71	CRAFcterm	6	789	939
72	KSR1nterm	1	3	138
73	KSR1nterm	2	123	276
74	KSR1nterm	3	270	429
75	KSR1nterm	4	414	576
76	KSR1nterm	5	567	717
77	KSR1nterm	6	714	867
78	KSR1nterm	7	858	1017
79	KSR1nterm	8	1005	1170
80	KSR1nterm	9	1152	1305
81	KSR1nterm	10	1302	1434
82	KSR1cterm	1	3	135
83	KSR1cterm	2	132	288
84	KSR1cterm	3	285	441
85	KSR1cterm	4	432	594
86	KSR1cterm	5	588	744
87	KSR1cterm	6	741	906
88	KSR1cterm	7	897	1059
89	KSR1cterm	8	1047	1206
90	KSR1cterm	9	1203	1335
91	KSR2nterm	1	3	141
92	KSR2nterm	2	129	285
93	KSR2nterm	3	270	429
94	KSR2nterm	4	429	579
95	KSR2nterm	5	573	735
96	KSR2nterm	6	720	885
97	KSR2nterm	7	870	1035
98	KSR2nterm	8	1023	1185
99	KSR2nterm	9	1173	1326
100	KSR2nterm	10	1320	1455
101	KSR2cterm	1	3	147
102	KSR2cterm	2	138	300
103	KSR2cterm	3	294	462
104	KSR2cterm	4	462	624
105	KSR2cterm	5	609	780
106	KSR2cterm	6	768	939
107	KSR2cterm	7	939	1107
108	KSR2cterm	8	1095	1263
109	KSR2cterm	9	1251	1395
110	MEK1	1	3	141
111	MEK1	2	132	285
112	MEK1	3	276	444
113	MEK1	4	432	597
114	MEK1	5	591	747
115	MEK1	6	741	900
116	MEK1	7	894	1050
117	MEK1	8	1044	1179
118	MEK2	1	3	138
119	MEK2	2	129	297
120	MEK2	3	291	456
121	MEK2	4	444	600
122	MEK2	5	597	765
123	MEK2	6	753	912
124	MEK2	7	909	1071
125	MEK2	8	1059	1200
126	SOS1cterm	1	3	144
127	SOS1cterm	2	132	294
128	SOS1cterm	3	282	441
129	SOS1cterm	4	438	600
130	SOS1cterm	5	594	750
131	SOS1cterm	6	750	900
132	SOS1cterm	7	897	1062
133	SOS1cterm	8	1047	1212
134	SOS1cterm	9	1200	1365
135	SOS1cterm	10	1353	1494
136	SHOC2	1	3	150
137	SHOC2	2	144	315
138	SHOC2	3	303	468
139	SHOC2	4	468	636
140	SHOC2	5	630	798
141	SHOC2	6	789	954
142	SHOC2	7	948	1119
143	SHOC2	8	1113	1284
144	SHOC2	9	1278	1443
145	SHOC2	10	1434	1614
146	SHOC2	11	1602	1746
147	METcterm	1	3	132
148	METcterm	2	126	282
149	METcterm	3	282	432
150	METcterm	4	429	588
151	METcterm	5	579	732
152	METcterm	6	726	885
153	METcterm	7	876	1032
154	METcterm	8	1029	1182
155	METcterm	9	1182	1311
156	RETcterm	1	3	141
157	RETcterm	2	129	297
158	RETcterm	3	288	456
159	RETcterm	4	453	606
160	RETcterm	5	600	771
161	RETcterm	6	759	930
162	RETcterm	7	915	1086
163	RETcterm	8	1071	1236
164	RETcterm	9	1224	1368
165	GRB2	1	3	129
166	GRB2	2	117	258
167	GRB2	3	252	405
168	GRB2	4	390	537
169	GRB2	5	534	651
170	VWFDD3	1	3	138
171	VWFDD3	2	132	297
172	VWFDD3	3	291	462
173	VWFDD3	4	444	618
174	VWFDD3	5	603	747
0	PTEN	1	3	168
1	PTEN	2	162	339
2	PTEN	4	507	684
3	PTEN	5	681	861
4	PTEN	6	855	1035
5	PTEN	7	1029	1209
6	PTEN	8	1047	1209
0	HOXA11AL_Singles	1	726	909
0	CRAFntermAL	1	171	357
1	BRAFntermAL	1	468	651
2	HOXA11AL	1	726	909
